Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.796118	0.000000	-1.458791	0.000000	-0.086431	0.000000	-428.786490	0.000000	-80.233515	0.000000	55.000000	0.000000	55.000000	0.000000	4.143168	0.000000	4.143168	0.000000	4.077088	0.000000	0.070993	0.032551	0.003255	0.070993	0.004172	0.000417	41.107300	296.207825	99217.406250	0.070993	0.022960	0.002296	0.070993	0.007515	0.000751	0.000000	0.000000	0.070993	-0.384012	0.000000	-21.120674	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.798275	NaN	-318.905102	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.784772	0.000000	-1.455850	0.000000	-0.085582	0.000000	-428.162439	0.000000	-80.071771	0.000000	55.000000	0.000000	55.000000	0.000000	4.144556	0.000000	4.144556	0.000000	4.088412	0.000000	0.078465	0.032273	0.003227	0.078465	0.004138	0.000414	48.578762	296.162567	99133.312500	0.078465	0.022756	0.002276	0.078465	0.007504	0.000750	0.000000	0.000000	0.078465	0.129420	0.000000	7.118087	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.730016	NaN	-260.150887	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.772581	0.000000	-1.452424	0.000000	-0.084494	0.000000	-427.491931	0.000000	-79.883333	0.000000	55.000000	0.000000	55.000000	0.000000	4.146506	0.000000	4.146506	0.000000	4.103479	0.000000	0.085936	0.031936	0.003194	0.085936	0.004096	0.000410	56.050220	296.117279	99049.218750	0.085936	0.022727	0.002273	0.085936	0.007491	0.000749	0.000000	0.000000	0.085936	0.726384	0.000000	39.951143	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-3.446647	NaN	-189.565588	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.758974	0.000000	-1.448668	0.000000	-0.082908	0.000000	-426.743578	0.000000	-79.676750	0.000000	55.000000	0.000000	55.000000	0.000000	4.148576	0.000000	4.148576	0.000000	4.127070	0.000000	0.093408	0.032280	0.003228	0.093408	0.004041	0.000404	63.521683	296.071991	98965.125000	0.093408	0.022622	0.002262	0.093408	0.007476	0.000748	0.000000	0.000000	0.093408	1.395652	0.000000	76.760863	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-1.978749	NaN	-108.831175	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.742454	0.000000	-1.444292	0.000000	-0.080459	0.000000	-425.834960	0.000000	-79.436078	0.000000	55.000000	0.000000	55.000000	0.000000	4.150785	0.000000	4.150785	0.000000	4.165969	0.000000	0.100879	0.032186	0.003219	0.100879	0.003978	0.000398	70.993141	296.026703	98881.031250	0.100879	0.022377	0.002238	0.100879	0.007457	0.000746	0.000000	0.000000	0.100879	2.108637	0.000000	115.975055	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	-0.397696	NaN	-21.873293	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.723501	0.000000	-1.438589	0.000000	-0.076875	0.000000	-424.792529	0.000000	-79.122412	0.000000	55.000000	0.000000	55.000000	0.000000	4.154507	0.000000	4.154507	0.000000	4.225997	0.000000	0.108350	0.032025	0.003203	0.108350	0.003892	0.000389	78.464600	295.981415	98796.937500	0.108350	0.022186	0.002219	0.108350	0.007434	0.000743	0.000000	0.000000	0.108350	2.826723	0.000000	155.469780	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	1.225669	NaN	67.411785	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.699865	0.000000	-1.431634	0.000000	-0.071749	0.000000	-423.492580	0.000000	-78.739886	0.000000	55.000000	0.000000	55.000000	0.000000	4.158910	0.000000	4.158910	0.000000	4.318553	0.000000	0.115822	0.031862	0.003186	0.115822	0.003782	0.000378	85.936066	295.936157	98712.843750	0.115822	0.022110	0.002211	0.115822	0.007400	0.000740	0.000000	0.000000	0.115822	3.502989	0.000000	192.664403	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	2.816392	NaN	154.901534	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.669383	0.000000	-1.422376	0.000000	-0.064684	0.000000	-421.816087	0.000000	-78.230679	0.000000	55.000000	0.000000	55.000000	0.000000	4.165143	0.000000	4.165143	0.000000	4.458743	0.000000	0.123293	0.031792	0.003179	0.123293	0.003625	0.000362	93.407524	295.890869	98628.750000	0.123293	0.021948	0.002195	0.123293	0.007356	0.000736	0.000000	0.000000	0.123293	4.106110	0.000000	225.836038	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	4.289551	NaN	235.925331	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.631415	0.000000	-1.410035	0.000000	-0.055584	0.000000	-419.727805	0.000000	-77.551936	0.000000	55.000000	0.000000	55.000000	0.000000	4.174416	0.000000	4.174416	0.000000	4.664923	0.000000	0.130765	0.031593	0.003159	0.130765	0.003412	0.000341	100.878983	295.845581	98544.648437	0.130765	0.021809	0.002181	0.130765	0.007297	0.000730	0.000000	0.000000	0.130765	4.611947	0.000000	253.657065	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	5.566455	NaN	306.155036	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.581083	0.000000	-1.393878	0.000000	-0.043340	0.000000	-416.959549	0.000000	-76.663289	0.000000	55.000000	0.000000	55.000000	0.000000	4.186548	0.000000	4.186548	0.000000	5.007262	0.000000	0.138236	0.031507	0.003151	0.138236	0.003118	0.000312	108.350441	295.800293	98460.554687	0.138236	0.021512	0.002151	0.138236	0.007220	0.000722	0.000000	0.000000	0.138236	5.019254	0.000000	276.058975	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	6.595814	NaN	362.769787	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
