Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.799919	0.000000	-1.460253	0.000000	-0.086238	0.000000	-428.995532	0.000000	-80.313893	0.000000	55.000000	0.000000	55.000000	0.000000	4.141897	0.000000	4.141897	0.000000	4.081757	0.000000	0.070993	0.032512	0.003251	0.070993	0.004200	0.000420	41.107300	296.207825	99217.406250	0.070993	0.021615	0.002162	0.070993	0.007529	0.000753	0.000000	0.000000	0.070993	-0.476581	0.000000	-26.211974	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.823498	NaN	-320.292410	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.789276	0.000000	-1.457635	0.000000	-0.085386	0.000000	-428.410154	0.000000	-80.169933	0.000000	55.000000	0.000000	55.000000	0.000000	4.142957	0.000000	4.142957	0.000000	4.093493	0.000000	0.078465	0.032692	0.003269	0.078465	0.004168	0.000417	48.578762	296.162567	99133.312500	0.078465	0.021500	0.002150	0.078465	0.007520	0.000752	0.000000	0.000000	0.078465	-0.017155	0.000000	-0.943539	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.792191	NaN	-263.570511	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.777692	0.000000	-1.454603	0.000000	-0.084271	0.000000	-427.773056	0.000000	-80.003162	0.000000	55.000000	0.000000	55.000000	0.000000	4.144426	0.000000	4.144426	0.000000	4.109440	0.000000	0.085936	0.032121	0.003212	0.085936	0.004135	0.000414	56.050220	296.117279	99049.218750	0.085936	0.021330	0.002133	0.085936	0.007510	0.000751	0.000000	0.000000	0.085936	0.515122	0.000000	28.331729	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-3.543331	NaN	-194.883225	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.764540	0.000000	-1.451267	0.000000	-0.082647	0.000000	-427.049719	0.000000	-79.819696	0.000000	55.000000	0.000000	55.000000	0.000000	4.145917	0.000000	4.145917	0.000000	4.134208	0.000000	0.093408	0.031957	0.003196	0.093408	0.004093	0.000409	63.521683	296.071991	98965.125000	0.093408	0.021043	0.002104	0.093408	0.007499	0.000750	0.000000	0.000000	0.093408	1.107896	0.000000	60.934293	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-2.128395	NaN	-117.061723	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.748978	0.000000	-1.447267	0.000000	-0.080146	0.000000	-426.193803	0.000000	-79.599685	0.000000	55.000000	0.000000	55.000000	0.000000	4.147781	0.000000	4.147781	0.000000	4.174559	0.000000	0.100879	0.031876	0.003188	0.100879	0.004039	0.000404	70.993141	296.026703	98881.031250	0.100879	0.020621	0.002062	0.100879	0.007485	0.000749	0.000000	0.000000	0.100879	1.733172	0.000000	95.324455	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	-0.619209	NaN	-34.056496	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.731076	0.000000	-1.442476	0.000000	-0.076272	0.000000	-425.209170	0.000000	-79.336188	0.000000	55.000000	0.000000	55.000000	0.000000	4.150260	0.000000	4.150260	0.000000	4.241258	0.000000	0.108350	0.031897	0.003190	0.108350	0.003967	0.000397	78.464600	295.981415	98796.937500	0.108350	0.020510	0.002051	0.108350	0.007465	0.000747	0.000000	0.000000	0.108350	2.351857	0.000000	129.352119	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	0.937108	NaN	51.540956	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.707385	0.000000	-1.436340	0.000000	-0.070846	0.000000	-423.906173	0.000000	-78.998673	0.000000	55.000000	0.000000	55.000000	0.000000	4.153212	0.000000	4.153212	0.000000	4.341573	0.000000	0.115822	0.031878	0.003188	0.115822	0.003871	0.000387	85.936066	295.936157	98712.843750	0.115822	0.020224	0.002022	0.115822	0.007438	0.000744	0.000000	0.000000	0.115822	2.929830	0.000000	161.140643	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	2.440142	NaN	134.207831	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.677994	0.000000	-1.428004	0.000000	-0.063667	0.000000	-422.289652	0.000000	-78.540224	0.000000	55.000000	0.000000	55.000000	0.000000	4.158155	0.000000	4.158155	0.000000	4.487312	0.000000	0.123293	0.032046	0.003205	0.123293	0.003727	0.000373	93.407524	295.890869	98628.750000	0.123293	0.019900	0.001990	0.123293	0.007404	0.000740	0.000000	0.000000	0.123293	3.455492	0.000000	190.052072	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	3.815934	NaN	209.876367	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.641865	0.000000	-1.417403	0.000000	-0.053860	0.000000	-420.302577	0.000000	-77.957139	0.000000	55.000000	0.000000	55.000000	0.000000	4.164916	0.000000	4.164916	0.000000	4.717897	0.000000	0.130765	0.032275	0.003228	0.130765	0.003534	0.000353	100.878983	295.845581	98544.648437	0.130765	0.019783	0.001978	0.130765	0.007357	0.000736	0.000000	0.000000	0.130765	3.881823	0.000000	213.500246	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	5.011449	NaN	275.629702	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.595329	0.000000	-1.403323	0.000000	-0.041255	0.000000	-417.743122	0.000000	-77.182761	0.000000	55.000000	0.000000	55.000000	0.000000	4.174495	0.000000	4.174495	0.000000	5.088131	0.000000	0.138236	0.032167	0.003217	0.138236	0.003277	0.000328	108.350441	295.800293	98460.554687	0.138236	0.019639	0.001964	0.138236	0.007294	0.000729	0.000000	0.000000	0.138236	4.205868	0.000000	231.322733	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	5.945310	NaN	326.992058	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
