,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1018.0,35.0,17.2,1.2,34.0,4.12,295.0,4.0,288.9,301.0,289.6
1,1013.0,76.0,15.8,1.8,39.0,4.32,294.0,5.0,287.9,300.5,288.6
2,1000.0,183.0,14.8,-1.2,33.0,3.52,290.0,6.0,287.9,298.3,288.6
3,984.0,319.0,14.0,-2.0,33.0,3.37,0.0,0.0,288.5,298.5,289.1
4,980.0,354.0,13.8,-2.2,33.0,3.33,13.0,1.0,288.6,298.5,289.2
5,956.0,562.0,12.7,-5.9,27.0,2.59,95.0,10.0,289.5,297.3,290.0
6,925.0,838.0,11.2,-10.8,20.0,1.82,120.0,10.0,290.8,296.4,291.1
7,922.0,865.0,11.0,-11.4,20.0,1.75,125.0,10.0,290.9,296.3,291.2
8,882.0,1232.0,8.8,-19.4,12.0,0.94,105.0,11.0,292.3,295.3,292.4
9,875.0,1297.0,8.4,-20.8,11.0,0.84,100.0,10.0,292.5,295.3,292.7
10,850.0,1537.0,7.0,-26.0,7.0,0.54,90.0,4.0,293.5,295.3,293.6
11,842.0,1615.0,6.2,-27.8,7.0,0.47,99.0,4.0,293.4,295.0,293.5
12,726.0,2817.0,1.0,-24.0,13.0,0.76,232.0,6.0,300.4,303.0,300.6
13,700.0,3109.0,-1.1,-24.1,16.0,0.78,265.0,6.0,301.2,303.9,301.4
14,690.0,3222.0,-2.0,-23.0,18.0,0.87,270.0,10.0,301.5,304.4,301.6
15,674.0,3407.0,-3.5,-21.3,24.0,1.04,255.0,5.0,301.9,305.4,302.1
16,656.0,3621.0,-5.2,-19.3,32.0,1.28,255.0,10.0,302.3,306.5,302.5
17,632.0,3915.0,-7.5,-16.5,49.0,1.67,267.0,12.0,302.9,308.3,303.2
18,626.0,3989.0,-8.0,-17.9,45.0,1.5,270.0,13.0,303.2,308.1,303.4
19,589.0,4460.0,-10.9,-26.9,26.0,0.72,249.0,19.0,305.1,307.6,305.2
20,573.0,4669.0,-12.5,-25.3,34.0,0.86,240.0,21.0,305.6,308.6,305.8
21,537.0,5162.0,-16.2,-21.4,64.0,1.29,245.0,25.0,306.9,311.2,307.1
22,527.0,5305.0,-17.3,-20.3,77.0,1.45,245.0,31.0,307.2,312.1,307.5
23,522.0,5377.0,-16.5,-18.4,85.0,1.73,245.0,34.0,309.0,314.8,309.4
24,512.0,5522.0,-17.1,-17.9,93.0,1.84,245.0,40.0,310.0,316.1,310.4
25,501.0,5685.0,-17.6,-19.0,89.0,1.71,245.0,47.0,311.3,317.0,311.6
26,500.0,5700.0,-17.7,-19.1,89.0,1.7,245.0,47.0,311.4,317.1,311.7
27,494.0,5790.0,-18.3,-19.8,88.0,1.62,246.0,48.0,311.7,317.2,312.1
28,481.0,5987.0,-19.9,-20.3,97.0,1.59,248.0,49.0,312.1,317.6,312.4
29,443.0,6589.0,-24.7,-26.1,88.0,1.03,253.0,52.0,313.5,317.1,313.7
30,408.0,7180.0,-29.5,-37.5,46.0,0.37,259.0,55.0,314.8,316.2,314.9
31,400.0,7320.0,-30.7,-35.7,61.0,0.46,260.0,56.0,315.0,316.7,315.1
32,383.0,7627.0,-33.7,-37.0,72.0,0.42,260.0,60.0,315.0,316.6,315.1
33,382.0,7645.0,-33.9,-40.9,49.0,0.28,260.0,60.0,315.0,316.0,315.0
34,352.0,8212.0,-38.9,-42.2,71.0,0.27,260.0,55.0,315.7,316.7,315.7
35,351.0,8232.0,-39.1,-42.4,70.0,0.26,260.0,55.0,315.7,316.7,315.8
36,334.0,8570.0,-41.9,-46.0,64.0,0.19,260.0,65.0,316.3,317.1,316.4
37,331.0,8631.0,-42.5,-51.5,37.0,0.1,260.0,67.0,316.3,316.7,316.4
38,326.0,8734.0,-43.3,-53.3,32.0,0.08,260.0,70.0,316.6,316.9,316.6
39,319.0,8880.0,-43.7,-61.7,12.0,0.03,260.0,74.0,318.0,318.1,318.0
40,300.0,9290.0,-46.3,-64.3,11.0,0.02,260.0,86.0,320.0,320.1,320.0
41,281.0,9721.0,-48.4,-65.7,12.0,0.02,260.0,99.0,323.0,323.1,323.0
42,250.0,10490.0,-52.1,-68.1,13.0,0.02,265.0,104.0,328.5,328.6,328.5
43,236.0,10862.0,-54.1,-71.1,11.0,0.01,270.0,105.0,330.9,331.0,330.9
44,200.0,11920.0,-55.7,-77.7,5.0,0.0,265.0,116.0,344.4,344.4,344.4
45,183.0,12485.0,-56.1,-81.1,3.0,0.0,265.0,124.0,352.6,352.6,352.6
46,169.0,12988.0,-57.5,-82.9,3.0,0.0,265.0,132.0,358.4,358.5,358.4
47,150.0,13740.0,-59.5,-85.5,2.0,0.0,270.0,117.0,367.4,367.4,367.4
48,100.0,16220.0,-67.7,-89.7,3.0,0.0,270.0,83.0,396.7,396.7,396.7
49,97.2,16391.0,-68.9,-89.9,3.0,0.0,270.0,87.0,397.6,397.6,397.6
50,96.0,16466.0,-68.6,-89.9,3.0,0.0,270.0,88.0,399.6,399.6,399.6
51,83.7,17295.0,-65.1,-90.1,2.0,0.0,283.0,43.0,422.6,422.6,422.6
52,82.0,17419.0,-65.3,-90.0,2.0,0.0,285.0,36.0,424.6,424.7,424.6
53,75.0,17961.0,-66.3,-89.5,3.0,0.0,260.0,49.0,433.5,433.5,433.5
54,70.0,18380.0,-67.1,-89.1,3.0,0.0,255.0,40.0,440.5,440.5,440.5
55,68.4,18520.0,-67.7,-89.7,3.0,0.0,263.0,39.0,442.1,442.1,442.1
56,67.0,18645.0,-67.5,-89.8,3.0,0.0,270.0,38.0,445.1,445.1,445.1
57,65.0,18829.0,-67.3,-89.8,3.0,0.0,260.0,38.0,449.4,449.4,449.4
58,63.0,19018.0,-67.1,-89.9,3.0,0.0,265.0,40.0,453.9,453.9,453.9
59,60.0,19314.0,-66.8,-90.0,3.0,0.0,270.0,25.0,461.1,461.1,461.1
60,57.0,19625.0,-66.4,-90.2,2.0,0.0,280.0,30.0,468.7,468.7,468.7
61,51.0,20300.0,-65.6,-90.5,2.0,0.0,275.0,35.0,485.6,485.6,485.6
62,50.0,20420.0,-65.5,-90.5,2.0,0.0,275.0,33.0,488.7,488.7,488.7
63,49.2,20518.0,-65.5,-90.5,2.0,0.0,271.0,31.0,491.0,491.0,491.0
64,48.0,20672.0,-65.1,-90.3,2.0,0.0,265.0,27.0,495.4,495.4,495.4
65,44.0,21212.0,-63.7,-89.8,2.0,0.0,280.0,30.0,511.3,511.3,511.3
66,40.0,21804.0,-62.1,-89.2,2.0,0.0,275.0,23.0,529.3,529.3,529.3
67,37.0,22288.0,-60.9,-88.8,1.0,0.0,295.0,22.0,544.4,544.5,544.4
68,35.0,22633.0,-60.0,-88.4,1.0,0.0,325.0,14.0,555.5,555.5,555.5
69,34.0,22813.0,-59.5,-88.3,1.0,0.0,310.0,9.0,561.4,561.4,561.4
70,33.0,22998.0,-59.0,-88.1,1.0,0.01,295.0,11.0,567.4,567.5,567.4
